crop,init ,dev ,mid ,late ,total ,plantdate ,region 
Maize-grain ,20,35,40,30,125,October ,"India (dry, cool) "
Maize-grain ,30,40,50,30,150,April ,"Spain (spr, sum.); Calif. "
Maize-grain ,30,40,50,50,170,April ,"Idaho, USA "
Maize-sweet ,20,20,30,10,80,March ,Philippines 
Maize-sweet,20,25,25,10,80,May/June ,Mediterranean 
Maize-sweet,20,30,50/30 ,10,90,Oct/Dec ,Arid Climate 
Maize-sweet,30,30,30,103,110,April ,"Idaho, USA "
Maize-sweet,20,40,70,10,140,Jan ,"Calif. Desert, USA "
Millet ,15,25,40,25,105,June ,Pakistan 
Millet,20,30,55,35,140,April ,Central USA 
Sorghum ,20,35,40,30,130,May/June ,"USA, Pakis., Med. "
Sorghum,20,35,45,30,140,Mar/April ,Arid Region 
Rice ,30,30,60,30,150,Dec; May ,Tropics; Mediterranean 
Rice,30,30,80,40,180,May ,Tropics 
"Alfalfa, total season ",10,30,var. ,var. ,var. ,,last -4°C in spring until first -4°C in fall 
Alfalfa 1st cutting cycle ,10,20,20,10,60,Jan Apr (last - 4°C) ,"Calif., USA. "
Alfalfa 1st cutting cycle,10,30,25,10,75,,"Idaho, USA. "
"Alfalfa, other cutting cycles ",5,10,10,5,30,Mar ,"Calif., USA. "
"Alfalfa, other cutting cycles",5,20,10,10,45,Jun ,"Idaho, USA. "
Bermuda for seed ,10,25,35,35,105,March ,"Calif. Desert, USA "
Bermuda for hay (several cuttings) ,10,15,75,35,135,--- ,"Calif. Desert, USA "
Grass Pasture ,10,20,-- ,-- ,-- ,,7 days before last -4°C in spring until 7 days after first -4°C in fall 
"Sudan, 1st cutting cycle ",25,25,15,10,75,Apr ,"Calif. Desert, USA "
"Sudan, other cutting cycles ",3,15,12,7,37,June ,"Calif. Desert, USA "
"Sugarcane, virgin ",35,60,190,120,405,,Low Latitudes 
"Sugarcane, virgin",50,70,220,140,480,,Tropics 
"Sugarcane, virgin",75,105,330,210,720,,"Hawaii, USA "
"Sugarcane, ratoon ",25,70,135,50,280,,Low Latitudes 
"Sugarcane, ratoon",30,50,180,60,320,,Tropics 
"Sugarcane, ratoon",35,105,210,70,420,,"Hawaii, USA "
"Banana, 1st yr ",120,90,120,60,390,Mar ,Mediterranean 
"Banana, 2nd yr ",120,60,180,5,365,Feb ,Mediterranean 
Pineapple ,60,120,600,10,790,,"Hawaii, USA "
Grapes ,20,40,120,60,240,April ,Low Latitudes 
Grapes ,20,50,75,60,205,Mar ,"Calif., USA "
Grapes ,20,50,90,20,180,May ,High Latitudes 
Grapes ,30,60,40,80,210,April ,Mid Latitudes (wine) 
Hops ,25,40,80,10,155,April ,"Idaho, USA "
Citrus ,60,90,120,95,365,Jan ,Mediterranean 
Deciduous Orchard ,20,70,90,30,210,March ,High Latitudes 
Deciduous Orchard ,20,70,120,60,270,March ,Low Latitudes 
Deciduous Orchard ,30,50,130,30,240,March ,"Calif., USA "
Olives ,30,90,60,90,2705,March ,Mediterranean 
Pistachios ,20,60,30,40,150,Feb ,Mediterranean 
Walnuts ,20,10,130,30,190,April ,"Utah, USA "
"Wetlands (Cattails, Bulrush) ",10,30,80,20,140,May ,"Utah, USA; killing frost "
"Wetlands (Cattails, Bulrush)",180,60,90,35,365,November ,"Florida, USA "
Wetlands (short veg.) ,180,60,90,35,365,November ,frost-free climate 
