longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value
697980	838140	0.6303568	697530	837000	0.3151784	698130	835290	0.1575892	698640	837420	0.0787946	699240	837090	0.0393973	699990	837510	0.01969865	698250	837930	0.009849325	699120	834960	0.004924663	697740	837960	0.002462331	699330	835770	0.001231166	699900	837300	0.000615583	699990	836580	0.000307791	699090	838920	0.000153896	699450	835020	7.69479E-05
698730	834990	0.7430141	698490	835680	0.37150705	699270	837900	0.185753525	699570	835020	0.092876763	697650	836340	0.046438381	698700	835620	0.023219191	698370	839010	0.011609595	699000	837240	0.005804798	698280	835920	0.002902399	697860	835020	0.001451199	699120	835050	0.0007256	697980	836970	0.0003628	697530	836190	0.0001814	698130	834810	9.07E-05
698340	835230	0.5760056	698130	835170	0.2880028	698190	835830	0.1440014	698550	837960	0.0720007	697770	837270	0.03600035	697980	837510	0.018000175	699210	837120	0.009000088	698340	836100	0.004500044	699000	837390	0.002250022	698730	838140	0.001125011	699420	837000	0.000562505	698730	835290	0.000281253	698490	837420	0.000140626	699270	837090	7.03132E-05
698280	836970	0.7428325	697800	838350	0.37141625	699330	836010	0.185708125	697770	836520	0.092854063	699000	836010	0.046427031	698700	838200	0.023213516	698520	837000	0.011606758	699690	838710	0.005803379	698190	836070	0.002901689	698670	834990	0.001450845	698820	835680	0.000725422	698340	837900	0.000362711	698130	835020	0.000181356	698190	836340	9.06778E-05
697530	836400	0.4626917	698280	834540	0.23134585	699930	837150	0.115672925	699540	838410	0.057836463	699630	838680	0.028918231	699330	834480	0.014459116	697860	834450	0.007229558	699450	834870	0.003614779	698220	837030	0.001807389	699750	835230	0.000903695	698130	835170	0.000451847	698280	835830	0.000225924	697800	837960	0.000112962	699330	837270	5.64809E-05
699120	835350	0.9738493	697470	838260	0.48692465	698400	837630	0.243462325	698100	838680	0.121731163	699750	834690	0.060865581	698010	839340	0.030432791	699480	834630	0.015216395	698610	834630	0.007608198	699270	834540	0.003804099	698460	836970	0.001902049	698640	838350	0.000951025	697530	836010	0.000475512	698280	836520	0.000237756	699930	836010	0.000118878
698280	838980	0.6312003	698250	838020	0.31560015	698070	835560	0.157800075	698400	838140	0.078900038	699480	836820	0.039450019	698400	835500	0.019725009	697620	837990	0.009862505	699600	834420	0.004931252	699570	835050	0.002465626	697500	836400	0.001232813	699150	834540	0.000616407	699120	837150	0.000308203	697470	838410	0.000154102	698400	838680	7.70508E-05
697980	835320	0.4647732	697500	836940	0.2323866	699420	838290	0.1161933	698790	836940	0.05809665	699810	836220	0.029048325	698400	838530	0.014524163	699270	836910	0.007262081	699900	834660	0.003631041	697590	839220	0.00181552	698040	835350	0.00090776	699540	838260	0.00045388	698280	837630	0.00022694	698250	838680	0.00011347	698070	834690	5.6735E-05
699090	834390	1	699450	834510	0.5	698820	835860	0.25	697800	838230	0.125	699960	839250	0.0625	699180	834330	0.03125	698850	837750	0.015625	699690	837180	0.0078125	699630	838470	0.00390625	699420	838980	0.001953125	698730	838020	0.000976563	697980	835560	0.000488281	697500	838140	0.000244141	699420	836820	0.00012207
697530	834990	0.6297741	698130	837960	0.31488705	698640	834810	0.157443525	699240	836490	0.078721763	699990	837780	0.039360881	698250	834480	0.019680441	699120	836310	0.00984022	697740	837060	0.00492011	699330	837600	0.002460055	699900	835320	0.001230028	699990	836940	0.000615014	699090	838290	0.000307507	699450	836940	0.000153753	698820	836220	7.68767E-05
698490	837510	0.6865668	699270	837930	0.3432834	699570	834960	0.1716417	697650	837960	0.08582085	698700	835770	0.042910425	698370	837300	0.021455213	699000	836580	0.010727606	698280	838920	0.005363803	697860	835020	0.002681902	699120	834390	0.001340951	697980	834510	0.000670475	697530	835860	0.000335238	698130	838230	0.000167619	698640	839250	8.38094E-05
698130	835620	0.6858805	698190	839010	0.34294025	698550	837240	0.171470125	697770	835920	0.085735063	697980	835020	0.042867531	699210	835050	0.021433766	698340	836970	0.010716883	699000	836190	0.005358441	698730	834810	0.002679221	699420	834990	0.00133961	698730	837960	0.000669805	698490	834810	0.000334903	699270	836490	0.000167451	699570	837780	8.37256E-05
697800	837510	0.4063591	699330	837120	0.20317955	697770	836100	0.101589775	699000	837390	0.050794888	698700	838140	0.025397444	698520	837000	0.012698722	699690	835290	0.006349361	698190	837420	0.00317468	698670	837090	0.00158734	698820	837510	0.00079367	698340	837930	0.000396835	698130	834960	0.000198418	698190	837960	9.92088E-05	698550	835770	4.96044E-05
698280	838200	0.4629457	699930	837000	0.23147285	699540	838710	0.115736425	699630	836070	0.057868213	699330	834990	0.028934106	697860	835680	0.014467053	699450	837900	0.007233527	698220	835020	0.003616763	699750	836340	0.001808382	698130	835620	0.000904191	698280	839010	0.000452095	697800	837240	0.000226048	699330	835920	0.000113024	697770	835020	5.65119E-05
697470	834480	0.6322092	698400	834450	0.3161046	698100	834870	0.1580523	699750	837030	0.07902615	698010	835230	0.039513075	699480	835170	0.019756538	698610	835830	0.009878269	699270	837960	0.004939134	698460	837270	0.002469567	698640	837510	0.001234784	697530	837120	0.000617392	698280	836100	0.000308696	699930	837390	0.000154348	699540	838140	7.7174E-05
698250	839340	1	698070	834630	0.5	698400	834630	0.25	699480	834540	0.125	698400	836970	0.0625	697620	838350	0.03125	699600	836010	0.015625	699570	836520	0.0078125	697500	836010	0.00390625	699150	838200	0.001953125	699120	837000	0.000976563	697470	838710	0.000488281	698400	836070	0.000244141	698100	834990	0.00012207
697500	835500	0.4077253	699420	837990	0.20386265	698790	834420	0.101931325	699810	835050	0.050965663	698400	836400	0.025482831	699270	834540	0.012741416	699900	837150	0.006370708	697590	838410	0.003185354	698040	838680	0.001592677	699540	834480	0.000796338	698280	834450	0.000398169	698250	834870	0.000199085	698070	837030	9.95423E-05	698400	835230	4.97712E-05
699450	838530	0.4670469	698820	836910	0.23352345	697800	834660	0.116761725	699960	839220	0.058380863	699180	835350	0.029190431	698850	838260	0.014595216	699690	837630	0.007297608	699630	838680	0.003648804	699420	834690	0.001824402	698730	839340	0.000912201	697980	834630	0.0004561	697500	834630	0.00022805	699420	834540	0.000114025	698790	836970	5.70126E-05
698130	834330	0.689347	698640	837750	0.3446735	699240	837180	0.17233675	699990	838470	0.086168375	698250	838980	0.043084188	699120	838020	0.021542094	697740	835560	0.010771047	699330	838140	0.005385523	699900	836820	0.002692762	699990	835500	0.001346381	699090	837990	0.00067319	699450	834420	0.000336595	698820	835050	0.000168298	697800	836400	8.41488E-05
699270	834480	0.913011	699570	836310	0.4565055	697650	837060	0.22825275	698700	837600	0.114126375	698370	835320	0.057063188	699000	836940	0.028531594	698280	838290	0.014265797	697860	836940	0.007132898	699120	836220	0.003566449	697980	838530	0.001783225	697530	836910	0.000891612	698130	834660	0.000445806	698640	839220	0.000222903	699240	835350	0.000111452
698190	837300	0.4626917	698550	836580	0.23134585	697770	838920	0.115672925	697980	835020	0.057836463	699210	834390	0.028918231	698340	834510	0.014459116	699000	835860	0.007229558	698730	838230	0.003614779	699420	839250	0.001807389	698730	834330	0.000903695	698490	837750	0.000451847	699270	837180	0.000225924	699570	838470	0.000112962	697650	838980	5.64809E-05
699330	835050	0.8576459	697770	836970	0.42882295	699000	836190	0.214411475	698700	834810	0.107205738	698520	834990	0.053602869	699690	837960	0.026801434	698190	834810	0.013400717	698670	836490	0.006700359	698820	837780	0.003350179	698340	834480	0.00167509	698130	836310	0.000837545	698190	837060	0.000418772	698550	837600	0.000209386	697770	835320	0.000104693
699930	837000	0.8562223	699540	835290	0.42811115	699630	837420	0.214055575	699330	837090	0.107027788	697860	837510	0.053513894	699450	837930	0.026756947	698220	834960	0.013378473	699750	837960	0.006689237	698130	835770	0.003344618	698280	837300	0.001672309	697800	836580	0.000836155	699330	838920	0.000418077	697770	835020	0.000209039	699000	834390	0.000104519
698400	835680	0.686035	698100	837900	0.3430175	699750	835020	0.17150875	698010	836340	0.085754375	699480	835620	0.042877188	698610	839010	0.021438594	699270	837240	0.010719297	698460	835920	0.005359648	698640	835020	0.002679824	697530	835050	0.001339912	698280	836970	0.000669956	699930	836190	0.000334978	699540	834810	0.000167489	699630	834990	8.37445E-05
698070	835170	0.8581234	698400	835830	0.4290617	699480	837960	0.21453085	698400	837270	0.107265425	697620	837510	0.053632713	699600	837120	0.026816356	699570	836100	0.013408178	697500	837390	0.006704089	699150	838140	0.003352045	699120	837000	0.001676022	697470	835290	0.000838011	698400	837420	0.000419006	698100	837090	0.000209503	699750	837510	0.000104751
699420	838350	0.9130486	698790	836010	0.4565243	699810	836520	0.22826215	698400	836010	0.114131075	699270	838200	0.057065538	699900	837000	0.028532769	697590	838710	0.014266384	698040	836070	0.007133192	699540	834990	0.003566596	698280	835680	0.001783298	698250	837900	0.000891649	698070	835020	0.000445825	698400	836340	0.000222912	699480	835620	0.000111456
698820	834540	0.6879316	697800	837150	0.3439658	699960	838410	0.1719829	699180	838680	0.08599145	698850	834480	0.042995725	699690	834450	0.021497863	699630	834870	0.010748931	699420	837030	0.005374466	698730	835230	0.002687233	697980	835170	0.001343616	697500	835830	0.000671808	699420	837960	0.000335904	698790	837270	0.000167952	699810	837510	8.3976E-05
698640	838260	0.5186983	699240	837630	0.25934915	699990	838680	0.129674575	698250	834690	0.064837288	699120	839340	0.032418644	697740	834630	0.016209322	699330	834630	0.008104661	699900	834540	0.00405233	699990	836970	0.002026165	699090	838350	0.001013083	699450	836010	0.000506541	698820	836520	0.000253271	697800	836010	0.000126635	699960	838200	6.33177E-05
699570	838020	0.856036	697650	835560	0.428018	698700	838140	0.214009	698370	836820	0.1070045	699000	835500	0.05350225	698280	837990	0.026751125	697860	834420	0.013375563	699120	835050	0.006687781	697980	836400	0.003343891	697530	834540	0.001671945	698130	837150	0.000835973	698640	838410	0.000417986	699240	838680	0.000208993	699990	834480	0.000104497
698550	836940	0.517333	697770	838290	0.2586665	697980	836940	0.12933325	699210	836220	0.064666625	698340	838530	0.032333313	699000	836910	0.016166656	698730	834660	0.008083328	699420	839220	0.004041664	698730	835350	0.002020832	698490	838260	0.001010416	699270	837630	0.000505208	699570	838680	0.000252604	697650	834690	0.000126302	698700	839340	6.3151E-05
697770	834510	0.5751302	699000	835860	0.2875651	698700	838230	0.14378255	698520	839250	0.071891275	699690	834330	0.035945638	698190	837750	0.017972819	698670	837180	0.008986409	698820	838470	0.004493205	698340	838980	0.002246602	698130	838020	0.001123301	698190	835560	0.000561651	698550	838140	0.000280825	697770	836820	0.000140413	697980	835500	7.02063E-05
699540	837960	1	699630	834810	0.5	699330	836490	0.25	697860	837780	0.125	699450	834480	0.0625	698220	836310	0.03125	699750	837060	0.015625	698130	837600	0.0078125	698280	835320	0.00390625	697800	836940	0.001953125	699330	838290	0.000976563	697770	836940	0.000488281	699000	836220	0.000244141	698700	838530	0.00012207
698100	837930	0.6867299	699750	834960	0.34336495	698010	837960	0.171682475	699480	835770	0.085841238	698610	837300	0.042920619	699270	836580	0.021460309	698460	838920	0.010730155	698640	835020	0.005365077	697530	834390	0.002682539	698280	834510	0.001341269	699930	835860	0.000670635	699540	838230	0.000335317	699630	839250	0.000167659	699330	834330	8.38293E-05
698400	839010	0.6871195	699480	837240	0.34355975	698400	835920	0.171779875	697620	835020	0.085889938	699600	835050	0.042944969	699570	836970	0.021472484	697500	836190	0.010736242	699150	834810	0.005368121	699120	834990	0.002684061	697470	837960	0.00134203	698400	834810	0.000671015	698100	836490	0.000335508	699750	837780	0.000167754	698010	834480	8.38769E-05
698790	837120	0.4616437	699810	836100	0.23082185	698400	837390	0.115410925	699270	838140	0.057705463	699900	837000	0.028852731	697590	835290	0.014426366	698040	837420	0.007213183	699540	837090	0.003606591	698280	837510	0.001803296	698250	837930	0.000901648	698070	834960	0.000450824	698400	837960	0.000225412	699480	835770	0.000112706	698400	837300	5.6353E-05
697800	837000	0.9721924	699960	838710	0.4860962	699180	836070	0.2430481	698850	834990	0.12152405	699690	835680	0.060762025	699630	837900	0.030381013	699420	835020	0.015190506	698730	836340	0.007595253	697980	835620	0.003797627	697500	839010	0.001898813	699420	837240	0.000949407	698790	835920	0.000474703	699810	835020	0.000237352	698400	835050	0.000118676
699240	834450	0.9140464	699990	834870	0.4570232	698250	837030	0.2285116	699120	835230	0.1142558	697740	835170	0.0571279	699330	835830	0.02856395	699900	837960	0.014281975	699990	837270	0.007140988	699090	837510	0.003570494	699450	837120	0.001785247	698820	836100	0.000892623	697800	837390	0.000446312	699960	838140	0.000223156	699180	837000	0.000111578
697650	834630	0.6868196	698700	834630	0.3434098	698370	834540	0.1717049	699000	836970	0.08585245	698280	838350	0.042926225	697860	836010	0.021463113	699120	836520	0.010731556	697980	836010	0.005365778	697530	838200	0.002682889	698130	837000	0.001341445	698640	838710	0.000670722	699240	836070	0.000335361	699990	834990	0.000167681	698250	835680	8.38403E-05
697770	837990	0.6859277	697980	834420	0.34296385	699210	835050	0.171481925	698340	836400	0.085740963	699000	834540	0.042870481	698730	837150	0.021435241	699420	838410	0.01071762	698730	838680	0.00535881	698490	834480	0.002679405	699270	834450	0.001339703	699570	834870	0.000669851	697650	837030	0.000334926	698700	835230	0.000167463	698370	835170	8.37314E-05
699000	836910	0.5739517	698700	834660	0.28697585	698520	839220	0.143487925	699690	835350	0.071743963	698190	838260	0.035871981	698670	837630	0.017935991	698820	838680	0.008967995	698340	834690	0.004483998	698130	839340	0.002241999	698190	834630	0.001120999	698550	834630	0.0005605	697770	834540	0.00028025	697980	836970	0.000140125	699210	838350	7.00625E-05
699630	837750	1	699330	837180	0.5	697860	838470	0.25	699450	838980	0.125	698220	838020	0.0625	699750	835560	0.03125	698130	838140	0.015625	698280	836820	0.0078125	697800	835500	0.00390625	699330	837990	0.001953125	697770	834420	0.000976563	699000	835050	0.000488281	698700	836400	0.000244141	698520	834540	0.00012207
699750	836310	0.7428462	698010	837060	0.3714231	699480	837600	0.18571155	698610	835320	0.092855775	699270	836940	0.046427888	698460	838290	0.023213944	698640	836940	0.011606972	697530	836220	0.005803486	698280	838530	0.002901743	699930	836910	0.001450871	699540	834660	0.000725436	699630	839220	0.000362718	699330	835350	0.000181359	697860	838260	9.06795E-05
699480	836580	0.6859522	698400	838920	0.3429761	697620	835020	0.17148805	699600	834390	0.085744025	699570	834510	0.042872013	697500	835860	0.021436006	699150	838230	0.010718003	699120	839250	0.005359002	697470	834330	0.002679501	698400	837750	0.00133975	698100	837180	0.000669875	699750	838470	0.000334938	698010	838980	0.000167469	699480	838020	8.37344E-05
699810	836970	0.7429458	698400	836190	0.3714729	699270	834810	0.18573645	699900	834990	0.092868225	697590	837960	0.046434113	698040	834810	0.023217056	699540	836490	0.011608528	698280	837780	0.005804264	698250	834480	0.002902132	698070	836310	0.001451066	698400	837060	0.000725533	699480	837600	0.000362767	698400	835320	0.000181383	697620	836940	9.06916E-05
699960	835290	0.9138509	699180	837420	0.45692545	698850	837090	0.228462725	699690	837510	0.114231363	699630	837930	0.057115681	699420	834960	0.028557841	698730	837960	0.01427892	697980	835770	0.00713946	697500	837300	0.00356973	699420	836580	0.001784865	698790	838920	0.000892433	699810	835020	0.000446216	698400	834390	0.000223108	699270	834510	0.000111554
699990	837900	0.7430354	698250	835020	0.3715177	699120	836340	0.18575885	697740	835620	0.092879425	699330	839010	0.046439713	699900	837240	0.023219856	699990	835920	0.011609928	699090	835020	0.005804964	699450	835050	0.002902482	698820	836970	0.001451241	697800	836190	0.000725621	699960	834810	0.00036281	699180	834990	0.000181405	698850	837960	9.07026E-05
698700	835830	0.5734344	698370	837960	0.2867172	699000	837270	0.1433586	698280	837510	0.0716793	697860	837120	0.03583965	699120	836100	0.017919825	697980	837390	0.008959913	697530	838140	0.004479956	698130	837000	0.002239978	698640	835290	0.001119989	699240	837420	0.000559995	699990	837090	0.000279997	698250	837510	0.000139999	699120	837930	6.99993E-05
697980	836010	0.5732941	699210	836520	0.28664705	698340	836010	0.143323525	699000	838200	0.071661763	698730	837000	0.035830881	699420	838710	0.017915441	698730	836070	0.00895772	698490	834990	0.00447886	699270	835680	0.00223943	699570	837900	0.001119715	697650	835020	0.000559858	698700	836340	0.000279929	698370	835620	0.000139964	699000	839010	6.99822E-05
698700	837150	0.51859	698520	838410	0.259295	699690	838680	0.1296475	698190	834480	0.06482375	698670	834450	0.032411875	698820	834870	0.016205938	698340	837030	0.008102969	698130	835230	0.004051484	698190	835170	0.002025742	698550	835830	0.001012871	697770	837960	0.000506436	697980	837270	0.000253218	699210	837510	0.000126609	698340	837120	6.33044E-05
699330	837630	0.6311919	697860	838680	0.31559595	699450	834690	0.157797975	698220	839340	0.078898988	699750	834630	0.039449494	698130	834630	0.019724747	698280	834540	0.009862373	697800	836970	0.004931187	699330	838350	0.002465593	697770	836010	0.001232797	699000	836520	0.000616398	698700	836010	0.000308199	698520	838200	0.0001541	699690	837000	7.70498E-05
698010	835560	0.4621075	699480	838140	0.23105375	698610	836820	0.115526875	699270	835500	0.057763438	698460	837990	0.028881719	698640	834420	0.014440859	697530	835050	0.00722043	698280	836400	0.003610215	699930	834540	0.001805107	699540	837150	0.000902554	699630	838410	0.000451277	699330	838680	0.000225638	697860	834480	0.000112819	699450	834450	5.64096E-05
698400	838290	0.7429099	697620	836940	0.37145495	699600	836220	0.185727475	699570	838530	0.092863738	697500	836910	0.046431869	699150	834660	0.023215934	699120	839220	0.011607967	697470	835350	0.005803984	698400	838260	0.002901992	698100	837630	0.001450996	699750	838680	0.000725498	698010	834690	0.000362749	699480	839340	0.000181374	698610	834630	9.06872E-05
698400	835860	0.5722068	699270	838230	0.2861034	699900	839250	0.1430517	697590	834330	0.07152585	698040	837750	0.035762925	699540	837180	0.017881463	698280	838470	0.008940731	698250	838980	0.004470366	698070	838020	0.002235183	698400	835560	0.001117591	699480	838140	0.000558796	698400	836820	0.000279398	697620	835500	0.000139699	699600	837990	6.98495E-05
699180	834810	0.7428807	698850	836490	0.37144035	699690	837780	0.185720175	699630	834480	0.092860088	699420	836310	0.046430044	698730	837060	0.023215022	697980	837600	0.011607511	697500	835320	0.005803755	699420	836940	0.002901878	698790	838290	0.001450939	699810	836940	0.000725469	698400	836220	0.000362735	699270	838530	0.000181367	699900	836910	9.06837E-05
698250	834960	0.6309293	699120	837960	0.31546465	697740	835770	0.157732325	699330	837300	0.078866163	699900	836580	0.039433081	699990	838920	0.019716541	699090	835020	0.00985827	699450	834390	0.004929135	698820	834510	0.002464568	697800	835860	0.001232284	699960	838230	0.000616142	699180	839250	0.000308071	698850	834330	0.000154035	699690	837750	7.70177E-05
698370	837240	0.6306954	699000	835920	0.3153477	698280	835020	0.15767385	697860	835050	0.078836925	699120	836970	0.039418463	697980	836190	0.019709231	697530	834810	0.009854616	698130	834990	0.004927308	698640	837960	0.002463654	699240	834810	0.001231827	699990	836490	0.000615913	698250	837780	0.000307957	699120	834480	0.000153978	697740	836310	7.69892E-05
699210	836100	0.7427962	698340	837390	0.3713981	699000	838140	0.18569905	698730	837000	0.092849525	699420	835290	0.046424763	698730	837420	0.023212381	698490	837090	0.011606191	699270	837510	0.005803095	699570	837930	0.002901548	697650	834960	0.001450774	698700	837960	0.000725387	698370	835770	0.000362693	699000	837300	0.000181347	698280	836580	9.06734E-05
698520	838710	0.7430948	699690	836070	0.3715474	698190	834990	0.1857737	698670	835680	0.09288685	698820	837900	0.046443425	698340	835020	0.023221713	698130	836340	0.011610856	698190	835620	0.005805428	698550	839010	0.002902714	697770	837240	0.001451357	697980	835920	0.000725679	699210	835020	0.000362839	698340	835050	0.00018142	699000	836970	9.07098E-05
697860	834870	0.519739	699450	837030	0.2598695	698220	835230	0.12993475	699750	835170	0.064967375	698130	835830	0.032483688	698280	837960	0.016241844	697800	837270	0.008120922	699330	837510	0.004060461	697770	837120	0.00203023	699000	836100	0.001015115	698700	837390	0.000507558	698520	838140	0.000253779	699690	837000	0.000126889	698190	835290	6.34447E-05
699480	834630	0.6865668	698610	834540	0.3432834	699270	836970	0.1716417	698460	838350	0.08582085	698640	836010	0.042910425	697530	836520	0.021455213	698280	836010	0.010727606	699930	838200	0.005363803	699540	837000	0.002681902	699630	838710	0.001340951	699330	836070	0.000670475	697860	834990	0.000335238	699450	835680	0.000167619	698220	837900	8.38094E-05
697620	834420	0.4666931	699600	835050	0.23334655	699570	836400	0.116673275	697500	834540	0.058336638	699150	837150	0.029168319	699120	838410	0.014584159	697470	838680	0.00729208	698400	834480	0.00364604	698100	834450	0.00182302	699750	834870	0.00091151	698010	837030	0.000455755	699480	835230	0.000227877	698610	835170	0.000113939	699270	835830	5.69694E-05
699270	834660	0.6338965	699900	839220	0.31694825	697590	835350	0.158474125	698040	838260	0.079237063	699540	837630	0.039618531	698280	838680	0.019809266	698250	834690	0.009904633	698070	839340	0.004952316	698400	834630	0.002476158	699480	834630	0.001238079	698400	834540	0.00061904	697620	836970	0.00030952	699600	838350	0.00015476	699570	836010	7.73799E-05
698850	837180	0.6286869	699690	838470	0.31434345	699630	838980	0.157171725	699420	838020	0.078585863	698730	835560	0.039292931	697980	838140	0.019646466	697500	836820	0.009823233	699420	835500	0.004911616	698790	837990	0.002455808	699810	834420	0.001227904	698400	835050	0.000613952	699270	836400	0.000306976	699900	834540	0.000153488	697590	837150	7.6744E-05
699120	837060	0.6308272	697740	837600	0.3154136	699330	835320	0.1577068	699900	836940	0.0788534	699990	838290	0.0394267	699090	836940	0.01971335	699450	836220	0.009856675	698820	838530	0.004928338	697800	836910	0.002464169	699960	834660	0.001232084	699180	839220	0.000616042	698850	835350	0.000308021	699690	838260	0.000154011	699630	837630	7.70053E-05
699000	838920	0.9126562	698280	835020	0.4563281	697860	834390	0.22816405	699120	834510	0.114082025	697980	835860	0.057041013	697530	838230	0.028520506	698130	839250	0.014260253	698640	834330	0.007130127	699240	837750	0.003565063	699990	837180	0.001782532	698250	838470	0.000891266	699120	838980	0.000445633	697740	838020	0.000222816	699330	835560	0.000111408
698340	836190	0.6859603	699000	834810	0.34298015	698730	834990	0.171490075	699420	837960	0.085745038	698730	834810	0.042872519	698490	836490	0.021436259	699270	837780	0.01071813	699570	834480	0.005359065	697650	836310	0.002679532	698700	837060	0.001339766	698370	837600	0.000669883	699000	835320	0.000334942	698280	836940	0.000167471	697860	838290	8.37354E-05
699690	837420	0.6863213	698190	837090	0.34316065	698670	837510	0.171580325	698820	837930	0.085790163	698340	834960	0.042895081	698130	837960	0.021447541	698190	835770	0.01072377	698550	837300	0.005361885	697770	836580	0.002680943	697980	838920	0.001340471	699210	835020	0.000670236	698340	834390	0.000335118	699000	834510	0.000167559	698730	835860	8.37795E-05
699450	835020	0.7429871	698220	836340	0.37149355	699750	835620	0.185746775	698130	839010	0.092873388	698280	837240	0.046436694	697800	835920	0.023218347	699330	835020	0.011609173	697770	835050	0.005804587	699000	836970	0.002902293	698700	836190	0.001451147	698520	834810	0.000725573	699690	834990	0.000362787	698190	837960	0.000181393	698670	834810	9.06967E-05
698610	837960	0.5744986	699270	837270	0.2872493	698460	837510	0.14362465	698640	837120	0.071812325	697530	836100	0.035906163	698280	837390	0.017953081	699930	838140	0.008976541	699540	837000	0.00448827	699630	835290	0.002244135	699330	837420	0.001122068	697860	837090	0.000561034	699450	837510	0.000280517	698220	837930	0.000140258	699750	834960	7.01292E-05
699600	836520	0.6295703	699570	836010	0.31478515	697500	838200	0.157392575	699150	837000	0.078696288	699120	838710	0.039348144	697470	836070	0.019674072	698400	834990	0.009837036	698100	835680	0.004918518	699750	837900	0.002459259	698010	835020	0.001229629	699480	836340	0.000614815	698610	835620	0.000307407	699270	839010	0.000153704	698460	837240	7.68518E-05
699900	838410	0.6312655	697590	838680	0.31563275	698040	834480	0.157816375	699540	834450	0.078908188	698280	834870	0.039454094	698250	837030	0.019727047	698070	835230	0.009863523	698400	835170	0.004931762	699480	835830	0.002465881	698400	837960	0.00123294	697620	837270	0.00061647	699600	837510	0.000308235	699570	837120	0.000154118	697500	836100	7.70588E-05
