Day	ETo	Zr	RAW	"Dr, i start"	P-RO	I	Ks	Kcb	Ke	Kc	ETc	DP	"Dr, i end"	Dstart	Dei	E	fw	fc	few
24	6.4	0.36	28	0	0	28	1	0.42	0.79	1.21	7.8	0	8	17	18	2	0.86	0.14	0.86
25	4.5	0.3	23	0	0	40	1	0.3	0.91	1.21	5.5	32	5	0	5	4.1	0.92	0.08	0.8
26	5	0.31	24	0	0	0	1	0.31	0.9	1.21	6.1	0	12	5	11	4.5	0.91	0.09	0.8
27	3.9	0.31	24	6	0	0	1	0.32	0.64	0.97	3.8	0	16	11	14	2.5	0.91	0.09	0.8
28	4.2	0.32	25	10	0	0	1	0.33	0.36	0.69	2.9	0	18	14	16	1.5	0.9	0.1	0.8
29	4.8	0.32	25	13	0	0	1	0.34	0.19	0.54	2.6	0	21	16	17	0.9	0.89	0.11	0.8
30	2.7	0.33	26	9	6	0	1	0.36	0.6	0.96	2.6	0	18	11	13	1.6	0.89	0.11	0.89
31	5.8	0.33	26	12	0	0	1	0.37	0.44	0.81	4.7	0	22	13	16	2.6	0.88	0.12	0.88
32	5.1	0.34	26	17	0	0	1	0.38	0.19	0.57	2.9	0	25	16	17	1	0.87	0.13	0.87
33	4.7	0.34	27	20	120	0	1	0.39	0.1	0.49	2.3	0	27	17	17	0.5	0.87	0.13	0.87
34	5.2	0.35	27	22	0	0	1	0.4	0.05	0.45	2.4	0	6	17	18	0.3	0.86	0.14	0.86
35	9.2	0.35	27	24	0	0	1	0.41	0.03	0.44	4	0	28	17	18	1	0.87	0.14	0.87
36	6.4	0.36	28	0	0	28	1	0.42	0.79	1.21	7.8	0	8	17	18	2	0.86	0.14	0.86
37	4.5	0.3	23	0	0	40	1	0.3	0.91	1.21	5.5	32	5	0	5	4.1	0.92	0.08	0.8
38	5	0.31	24	0	0	0	1	0.31	0.9	1.21	6.1	0	12	5	11	4.5	0.91	0.09	0.8
39	3.9	0.31	24	6	0	0	1	0.32	0.64	0.97	3.8	0	16	11	14	2.5	0.91	0.09	0.8
40	4.2	0.32	25	10	0	0	1	0.33	0.36	0.69	2.9	0	18	14	16	1.5	0.9	0.1	0.8
41	4.8	0.32	25	13	0	0	1	0.34	0.19	0.54	2.6	0	21	16	17	0.9	0.89	0.11	0.8
42	2.7	0.33	26	9	6	0	1	0.36	0.6	0.96	2.6	0	18	11	13	1.6	0.89	0.11	0.89
43	5.8	0.33	26	12	0	0	1	0.37	0.44	0.81	4.7	0	22	13	16	2.6	0.88	0.12	0.88
44	5.1	0.34	26	17	0	0	1	0.38	0.19	0.57	2.9	0	25	16	17	1	0.87	0.13	0.87
45	4.7	0.34	27	20	120	0	1	0.39	0.1	0.49	2.3	0	27	17	17	0.5	0.87	0.13	0.87
46	5.2	0.35	27	22	0	0	1	0.4	0.05	0.45	2.4	0	6	17	18	0.3	0.86	0.14	0.86
47	9.2	0.35	27	24	0	0	1	0.41	0.03	0.44	4	0	28	17	18	1	0.87	0.14	0.87
48	6.4	0.36	28	0	0	28	1	0.42	0.79	1.21	7.8	0	8	17	18	2	0.86	0.14	0.86
49	4.5	0.3	23	0	0	40	1	0.3	0.91	1.21	5.5	32	5	0	5	4.1	0.92	0.08	0.8
50	5	0.31	24	0	0	0	1	0.31	0.9	1.21	6.1	0	12	5	11	4.5	0.91	0.09	0.8
51	3.9	0.31	24	6	0	0	1	0.32	0.64	0.97	3.8	0	16	11	14	2.5	0.91	0.09	0.8
52	4.2	0.32	25	10	0	0	1	0.33	0.36	0.69	2.9	0	18	14	16	1.5	0.9	0.1	0.8
53	4.8	0.32	25	13	0	0	1	0.34	0.19	0.54	2.6	0	21	16	17	0.9	0.89	0.11	0.8
54	2.7	0.33	26	9	6	0	1	0.36	0.6	0.96	2.6	0	18	11	13	1.6	0.89	0.11	0.89
55	5.8	0.33	26	12	0	0	1	0.37	0.44	0.81	4.7	0	22	13	16	2.6	0.88	0.12	0.88
56	5.1	0.34	26	17	0	0	1	0.38	0.19	0.57	2.9	0	25	16	17	1	0.87	0.13	0.87
57	4.7	0.34	27	20	120	0	1	0.39	0.1	0.49	2.3	0	27	17	17	0.5	0.87	0.13	0.87
58	5.2	0.35	27	22	0	0	1	0.4	0.05	0.45	2.4	0	6	17	18	0.3	0.86	0.14	0.86
59	9.2	0.35	27	24	0	0	1	0.41	0.03	0.44	4	0	28	17	18	1	0.87	0.14	0.87
60	6.4	0.36	28	0	0	28	1	0.42	0.79	1.21	7.8	0	8	17	18	2	0.86	0.14	0.86
61	4.5	0.3	23	0	0	40	1	0.3	0.91	1.21	5.5	32	5	0	5	4.1	0.92	0.08	0.8
62	5	0.31	24	0	0	0	1	0.31	0.9	1.21	6.1	0	12	5	11	4.5	0.91	0.09	0.8
63	3.9	0.31	24	6	0	0	1	0.32	0.64	0.97	3.8	0	16	11	14	2.5	0.91	0.09	0.8
64	4.2	0.32	25	10	0	0	1	0.33	0.36	0.69	2.9	0	18	14	16	1.5	0.9	0.1	0.8
65	4.8	0.32	25	13	0	0	1	0.34	0.19	0.54	2.6	0	21	16	17	0.9	0.89	0.11	0.8
66	2.7	0.33	26	9	6	0	1	0.36	0.6	0.96	2.6	0	18	11	13	1.6	0.89	0.11	0.89
67	5.8	0.33	26	12	0	0	1	0.37	0.44	0.81	4.7	0	22	13	16	2.6	0.88	0.12	0.88
68	5.1	0.34	26	17	0	0	1	0.38	0.19	0.57	2.9	0	25	16	17	1	0.87	0.13	0.87
69	4.7	0.34	27	20	120	0	1	0.39	0.1	0.49	2.3	0	27	17	17	0.5	0.87	0.13	0.87
70	5.2	0.35	27	22	0	0	1	0.4	0.05	0.45	2.4	0	6	17	18	0.3	0.86	0.14	0.86
71	9.2	0.35	27	24	0	0	1	0.41	0.03	0.44	4	0	28	17	18	1	0.87	0.14	0.87
72	6.4	0.36	28	0	0	28	1	0.42	0.79	1.21	7.8	0	8	17	18	2	0.86	0.14	0.86
73	4.5	0.3	23	0	0	40	1	0.3	0.91	1.21	5.5	32	5	0	5	4.1	0.92	0.08	0.8
74	5	0.31	24	0	0	0	1	0.31	0.9	1.21	6.1	0	12	5	11	4.5	0.91	0.09	0.8
75	3.9	0.31	24	6	0	0	1	0.32	0.64	0.97	3.8	0	16	11	14	2.5	0.91	0.09	0.8
76	4.2	0.32	25	10	0	0	1	0.33	0.36	0.69	2.9	0	18	14	16	1.5	0.9	0.1	0.8
77	4.8	0.32	25	13	0	0	1	0.34	0.19	0.54	2.6	0	21	16	17	0.9	0.89	0.11	0.8
78	2.7	0.33	26	9	6	0	1	0.36	0.6	0.96	2.6	0	18	11	13	1.6	0.89	0.11	0.89
79	5.8	0.33	26	12	0	0	1	0.37	0.44	0.81	4.7	0	22	13	16	2.6	0.88	0.12	0.88
80	5.1	0.34	26	17	0	0	1	0.38	0.19	0.57	2.9	0	25	16	17	1	0.87	0.13	0.87
81	4.7	0.34	27	20	120	0	1	0.39	0.1	0.49	2.3	0	27	17	17	0.5	0.87	0.13	0.87
82	5.2	0.35	27	22	0	0	1	0.4	0.05	0.45	2.4	0	6	17	18	0.3	0.86	0.14	0.86
83	9.2	0.35	27	24	0	0	1	0.41	0.03	0.44	4	0	28	17	18	1	0.87	0.14	0.87
84	6.4	0.36	28	0	0	28	1	0.42	0.79	1.21	7.8	0	8	17	18	2	0.86	0.14	0.86
85	4.5	0.3	23	0	0	40	1	0.3	0.91	1.21	5.5	32	5	0	5	4.1	0.92	0.08	0.8
86	5	0.31	24	0	0	0	1	0.31	0.9	1.21	6.1	0	12	5	11	4.5	0.91	0.09	0.8
87	3.9	0.31	24	6	0	0	1	0.32	0.64	0.97	3.8	0	16	11	14	2.5	0.91	0.09	0.8
88	4.2	0.32	25	10	0	0	1	0.33	0.36	0.69	2.9	0	18	14	16	1.5	0.9	0.1	0.8
89	4.8	0.32	25	13	0	0	1	0.34	0.19	0.54	2.6	0	21	16	17	0.9	0.89	0.11	0.8
90	2.7	0.33	26	9	6	0	1	0.36	0.6	0.96	2.6	0	18	11	13	1.6	0.89	0.11	0.89
91	5.8	0.33	26	12	0	0	1	0.37	0.44	0.81	4.7	0	22	13	16	2.6	0.88	0.12	0.88
92	5.1	0.34	26	17	0	0	1	0.38	0.19	0.57	2.9	0	25	16	17	1	0.87	0.13	0.87
93	4.7	0.34	27	20	120	0	1	0.39	0.1	0.49	2.3	0	27	17	17	0.5	0.87	0.13	0.87
94	5.2	0.35	27	22	0	0	1	0.4	0.05	0.45	2.4	0	6	17	18	0.3	0.86	0.14	0.86
95	9.2	0.35	27	24	0	0	1	0.41	0.03	0.44	4	0	28	17	18	1	0.87	0.14	0.87
96	6.4	0.36	28	0	0	28	1	0.42	0.79	1.21	7.8	0	8	17	18	2	0.86	0.14	0.86
